Tick,Total Agents,IDS,Malicious,Stealth,Suspicious,Confirmed
0,55,5,10,6,0,4
1,55,5,10,6,0,4
2,55,5,10,6,0,7
3,55,5,10,6,0,7
4,55,5,10,6,0,8
5,55,5,10,6,0,8
6,55,5,10,6,0,8
7,55,5,10,6,2,8
8,55,5,10,6,1,8
9,55,5,10,6,0,8
10,55,5,10,6,0,8
11,55,5,10,6,0,8
12,55,5,10,6,0,8
13,55,5,10,6,0,8
14,55,5,10,6,0,8
15,55,5,10,6,0,8
16,55,5,10,6,0,8
17,55,5,10,6,0,8
18,55,5,10,6,0,8
19,55,5,10,6,0,8
20,55,5,10,6,1,8
21,55,5,10,6,0,8
22,55,5,10,6,0,8
23,55,5,10,6,0,8
24,55,5,10,6,0,8
25,55,5,10,6,0,8
26,55,5,10,6,0,8
27,55,5,10,6,0,8
28,55,5,10,6,0,8
29,55,5,10,6,0,8
30,55,5,10,6,0,8
31,55,5,10,6,0,8
32,55,5,10,6,0,8
33,55,5,10,6,0,8
34,55,5,10,6,0,8
35,55,5,10,6,0,8
36,55,5,10,6,0,8
37,55,5,10,6,0,8
38,55,5,10,6,0,8
39,55,5,10,6,0,8
40,55,5,10,6,1,8
41,55,5,10,6,2,8
42,55,5,10,6,0,8
43,55,5,10,6,0,8
44,55,5,10,6,0,8
45,55,5,10,6,0,8
46,55,5,10,6,0,8
47,55,5,10,6,0,8
48,55,5,10,6,0,8
49,55,5,10,6,0,8
50,55,5,10,6,0,8
51,55,5,10,6,0,8
52,55,5,10,6,0,8
53,55,5,10,6,0,8
54,55,5,10,6,0,8
55,55,5,10,6,0,8
56,55,5,10,6,0,8
57,55,5,10,6,1,8
58,55,5,10,6,0,8
59,55,5,10,6,1,7
60,55,5,11,5,2,7
61,55,5,11,5,0,7
62,55,5,11,5,0,7
63,55,5,11,5,0,7
64,55,5,11,5,0,7
65,55,5,11,5,0,7
66,55,5,12,4,0,7
67,55,5,12,4,0,7
68,55,5,12,4,0,9
69,55,5,12,4,1,10
70,55,5,12,4,0,10
71,55,5,12,4,0,10
72,55,5,12,4,1,10
73,55,5,12,4,1,10
74,55,5,12,4,1,10
75,55,5,13,3,1,10
76,55,5,13,3,0,10
77,55,5,13,3,2,10
78,55,5,13,3,0,10
79,55,5,13,3,0,10
80,55,5,13,3,0,10
81,55,5,13,3,0,10
82,55,5,13,3,0,10
83,55,5,13,3,0,10
84,55,5,13,3,0,10
85,55,5,13,3,0,10
86,55,5,13,3,0,11
87,55,5,13,3,1,11
88,55,5,14,2,0,13
89,55,5,14,2,1,13
90,55,5,14,2,1,13
91,55,5,14,2,0,13
92,55,5,14,2,0,13
93,55,5,14,2,0,13
94,55,5,14,2,0,13
95,55,5,14,2,0,14
96,55,5,14,2,0,14
97,55,5,14,2,0,14
98,55,5,14,2,0,14
99,55,5,14,2,0,14
100,55,5,14,2,0,14
