Tick,Total Agents,IDS,Malicious,Stealth,Suspicious,Confirmed
0,58,8,17,5,0,1
1,58,8,17,5,0,1
2,58,8,17,5,0,1
3,58,8,17,5,0,1
4,58,8,17,5,0,1
5,58,8,17,5,0,1
6,58,8,17,5,0,1
7,58,8,17,5,0,1
8,58,8,17,5,1,1
9,58,8,17,5,3,1
10,58,8,17,5,2,1
11,58,8,17,5,0,1
12,58,8,17,5,0,2
13,58,8,17,5,0,2
14,58,8,17,5,0,2
15,58,8,17,5,0,2
16,58,8,17,5,0,2
17,58,8,17,5,0,2
18,58,8,17,5,0,2
19,58,8,17,5,0,2
20,58,8,17,5,0,2
21,58,8,17,5,0,2
22,58,8,17,5,0,2
23,58,8,17,5,1,1
24,58,8,17,5,0,1
25,58,8,17,5,0,4
26,58,8,17,5,0,4
27,58,8,17,5,0,4
28,58,8,17,5,0,4
29,58,8,17,5,0,4
30,58,8,17,5,0,4
31,58,8,17,5,2,5
32,58,8,17,5,2,5
33,58,8,17,5,0,5
34,58,8,17,5,2,5
35,58,8,17,5,1,5
36,58,8,17,5,0,5
37,58,8,17,5,0,5
38,58,8,17,5,1,5
39,58,8,17,5,1,5
40,58,8,17,5,1,5
41,58,8,17,5,0,5
42,58,8,17,5,0,5
43,58,8,17,5,0,5
44,58,8,17,5,0,5
45,58,8,17,5,0,5
46,58,8,17,5,0,5
47,58,8,17,5,0,5
48,58,8,17,5,0,5
49,58,8,17,5,0,6
50,58,8,17,5,0,6
51,58,8,17,5,0,7
52,58,8,17,5,0,7
53,58,8,17,5,0,7
54,58,8,17,5,0,7
55,58,8,17,5,0,7
56,58,8,17,5,0,7
57,58,8,17,5,2,7
58,58,8,17,5,1,7
59,58,8,17,5,0,7
60,58,8,17,5,0,7
61,58,8,17,5,0,7
62,58,8,17,5,0,7
63,58,8,17,5,0,7
64,58,8,17,5,1,7
65,58,8,17,5,2,7
66,58,8,17,5,0,7
67,58,8,17,5,0,7
68,58,8,17,5,0,7
69,58,8,17,5,0,7
70,58,8,17,5,0,7
71,58,8,17,5,0,8
72,58,8,17,5,0,8
73,58,8,17,5,0,8
74,58,8,17,5,0,11
75,58,8,17,5,0,11
76,58,8,17,5,0,11
77,58,8,17,5,1,11
78,58,8,17,5,0,11
79,58,8,17,5,0,11
80,58,8,17,5,0,11
81,58,8,17,5,0,11
82,58,8,17,5,0,11
83,58,8,17,5,1,10
84,58,8,17,5,2,9
85,58,8,18,4,0,9
86,58,8,18,4,0,9
87,58,8,18,4,0,9
88,58,8,18,4,0,9
89,58,8,18,4,0,10
90,58,8,18,4,0,12
91,58,8,18,4,0,12
92,58,8,18,4,0,13
93,58,8,18,4,1,13
94,58,8,18,4,1,13
95,58,8,18,4,0,13
96,58,8,19,3,0,12
97,58,8,19,3,0,12
98,58,8,19,3,0,12
99,58,8,19,3,0,12
100,58,8,19,3,0,12
