Tick,Total Agents,IDS,Malicious,Stealth,Suspicious,Confirmed
0,53,3,11,5,0,2
1,53,3,11,5,0,2
2,53,3,11,5,0,2
3,53,3,11,5,0,2
4,53,3,11,5,0,2
5,53,3,11,5,0,2
6,53,3,11,5,0,2
7,53,3,11,5,0,2
8,53,3,11,5,0,2
9,53,3,11,5,0,2
10,53,3,11,5,0,2
11,53,3,11,5,0,2
12,53,3,11,5,0,2
13,53,3,11,5,0,2
14,53,3,11,5,3,2
15,53,3,11,5,2,2
16,53,3,11,5,0,2
17,53,3,11,5,0,2
18,53,3,11,5,0,2
19,53,3,11,5,2,2
20,53,3,11,5,1,2
21,53,3,11,5,4,2
22,53,3,11,5,2,2
23,53,3,11,5,1,2
24,53,3,11,5,0,2
25,53,3,11,5,0,2
26,53,3,11,5,0,2
27,53,3,11,5,0,2
28,53,3,11,5,1,2
29,53,3,11,5,0,2
30,53,3,11,5,0,2
31,53,3,11,5,3,2
32,53,3,11,5,1,2
33,53,3,11,5,0,2
34,53,3,11,5,0,2
35,53,3,11,5,0,2
36,53,3,11,5,0,2
37,53,3,11,5,0,2
38,53,3,11,5,0,2
39,53,3,11,5,0,3
40,53,3,11,5,0,3
41,53,3,11,5,0,3
42,53,3,11,5,0,3
43,53,3,11,5,0,3
44,53,3,11,5,0,3
45,53,3,11,5,0,3
46,53,3,11,5,0,3
47,53,3,11,5,0,3
48,53,3,11,5,1,3
49,53,3,11,5,1,3
50,53,3,11,5,0,3
51,53,3,11,5,0,4
52,53,3,11,5,0,4
53,53,3,11,5,0,4
54,53,3,11,5,1,4
55,53,3,11,5,3,4
56,53,3,11,5,0,4
57,53,3,11,5,0,4
58,53,3,11,5,0,4
59,53,3,11,5,1,4
60,53,3,11,5,0,4
61,53,3,11,5,0,4
62,53,3,11,5,0,4
63,53,3,11,5,0,4
64,53,3,11,5,0,4
65,53,3,11,5,0,4
66,53,3,11,5,0,4
67,53,3,11,5,0,4
68,53,3,11,5,0,4
69,53,3,11,5,2,4
70,53,3,11,5,1,4
71,53,3,11,5,0,4
72,53,3,11,5,0,4
73,53,3,11,5,0,5
74,53,3,11,5,0,5
75,53,3,11,5,0,5
76,53,3,11,5,0,5
77,53,3,11,5,0,5
78,53,3,11,5,0,5
79,53,3,11,5,0,5
80,53,3,11,5,0,5
81,53,3,11,5,0,5
82,53,3,11,5,1,5
83,53,3,11,5,1,5
84,53,3,11,5,1,5
85,53,3,11,5,0,5
86,53,3,11,5,0,5
87,53,3,11,5,0,5
88,53,3,11,5,0,5
89,53,3,11,5,0,5
90,53,3,11,5,0,5
91,53,3,11,5,0,5
92,53,3,11,5,0,5
93,53,3,11,5,0,5
94,53,3,11,5,0,5
95,53,3,11,5,4,5
96,53,3,11,5,2,5
97,53,3,11,5,2,5
98,53,3,11,5,0,5
99,53,3,11,5,0,5
100,53,3,11,5,0,5
