Tick,Total Agents,IDS,Malicious,Stealth,Suspicious,Confirmed
0,55,5,9,7,0,1
1,55,5,9,7,0,1
2,55,5,9,7,0,1
3,55,5,9,7,0,1
4,55,5,9,7,0,1
5,55,5,9,7,0,1
6,55,5,9,7,0,1
7,55,5,9,7,0,1
8,55,5,9,7,0,1
9,55,5,9,7,0,1
10,55,5,9,7,0,1
11,55,5,9,7,0,1
12,55,5,9,7,0,1
13,55,5,9,7,0,1
14,55,5,9,7,0,1
15,55,5,9,7,0,1
16,55,5,9,7,0,1
17,55,5,9,7,0,1
18,55,5,9,7,0,1
19,55,5,9,7,0,1
20,55,5,9,7,0,1
21,55,5,9,7,0,1
22,55,5,9,7,1,1
23,55,5,9,7,0,3
24,55,5,9,7,0,4
25,55,5,9,7,0,4
26,55,5,9,7,0,4
27,55,5,9,7,0,4
28,55,5,9,7,0,5
29,55,5,9,7,0,6
30,55,5,9,7,0,7
31,55,5,9,7,0,7
32,55,5,9,7,0,7
33,55,5,9,7,0,8
34,55,5,9,7,0,8
35,55,5,9,7,0,9
36,55,5,9,7,0,9
37,55,5,9,7,0,9
38,55,5,9,7,0,9
39,55,5,9,7,0,9
40,55,5,9,7,0,9
41,55,5,9,7,0,9
42,55,5,9,7,0,9
43,55,5,9,7,0,9
44,55,5,9,7,0,9
45,55,5,9,7,0,9
46,55,5,9,7,0,9
47,55,5,9,7,0,9
48,55,5,9,7,0,9
49,55,5,9,7,0,9
50,55,5,9,7,0,9
51,55,5,9,7,0,9
52,55,5,9,7,0,9
53,55,5,10,6,0,8
54,55,5,10,6,0,8
55,55,5,10,6,0,8
56,55,5,10,6,0,8
57,55,5,10,6,0,8
58,55,5,10,6,0,8
59,55,5,10,6,0,8
60,55,5,10,6,0,8
61,55,5,10,6,0,8
62,55,5,10,6,0,8
63,55,5,10,6,0,8
64,55,5,10,6,0,8
65,55,5,10,6,0,8
66,55,5,10,6,0,8
67,55,5,10,6,0,8
68,55,5,10,6,1,8
69,55,5,10,6,0,8
70,55,5,10,6,0,8
71,55,5,10,6,0,8
72,55,5,10,6,0,8
73,55,5,10,6,0,8
74,55,5,10,6,0,8
75,55,5,10,6,0,8
76,55,5,10,6,0,9
77,55,5,10,6,0,9
78,55,5,10,6,0,9
79,55,5,10,6,0,9
80,55,5,10,6,0,9
81,55,5,10,6,0,9
82,55,5,10,6,0,9
83,55,5,10,6,0,9
84,55,5,10,6,0,9
85,55,5,10,6,0,9
86,55,5,10,6,0,9
87,55,5,11,5,0,8
88,55,5,11,5,0,8
89,55,5,12,4,0,7
90,55,5,12,4,0,7
91,55,5,12,4,0,7
92,55,5,12,4,0,7
93,55,5,12,4,0,7
94,55,5,13,3,0,7
95,55,5,13,3,0,7
96,55,5,13,3,0,7
97,55,5,13,3,0,7
98,55,5,13,3,0,7
99,55,5,13,3,0,7
100,55,5,13,3,0,7
