Tick,Total Agents,IDS,Malicious,Stealth,Suspicious,Confirmed
0,53,3,13,5,0,2
1,53,3,13,5,0,2
2,53,3,13,5,0,2
3,53,3,13,5,0,2
4,53,3,13,5,0,2
5,53,3,13,5,0,2
6,53,3,13,5,0,2
7,53,3,13,5,0,2
8,53,3,13,5,0,2
9,53,3,13,5,0,2
10,53,3,13,5,0,2
11,53,3,13,5,0,2
12,53,3,13,5,0,2
13,53,3,13,5,0,2
14,53,3,13,5,0,2
15,53,3,13,5,0,2
16,53,3,13,5,0,2
17,53,3,13,5,0,2
18,53,3,13,5,0,2
19,53,3,13,5,0,2
20,53,3,13,5,0,2
21,53,3,13,5,0,2
22,53,3,13,5,0,2
23,53,3,13,5,0,2
24,53,3,13,5,0,2
25,53,3,13,5,0,2
26,53,3,13,5,0,2
27,53,3,13,5,0,2
28,53,3,13,5,0,2
29,53,3,13,5,0,2
30,53,3,13,5,0,2
31,53,3,13,5,0,2
32,53,3,13,5,0,2
33,53,3,13,5,0,2
34,53,3,13,5,0,2
35,53,3,13,5,0,2
36,53,3,13,5,0,2
37,53,3,13,5,0,2
38,53,3,13,5,0,2
39,53,3,13,5,0,2
40,53,3,13,5,0,2
41,53,3,13,5,0,2
42,53,3,13,5,0,2
43,53,3,13,5,0,2
44,53,3,13,5,0,2
45,53,3,13,5,0,2
46,53,3,13,5,0,2
47,53,3,13,5,0,2
48,53,3,13,5,0,2
49,53,3,13,5,0,2
50,53,3,13,5,0,2
51,53,3,13,5,0,2
52,53,3,13,5,0,2
53,53,3,13,5,0,2
54,53,3,13,5,0,2
55,53,3,13,5,0,2
56,53,3,13,5,0,2
57,53,3,13,5,0,2
58,53,3,13,5,2,2
59,53,3,13,5,4,2
60,53,3,13,5,0,2
61,53,3,13,5,0,2
62,53,3,13,5,0,2
63,53,3,13,5,0,2
64,53,3,13,5,0,2
65,53,3,13,5,0,2
66,53,3,13,5,0,2
67,53,3,13,5,0,2
68,53,3,13,5,0,2
69,53,3,13,5,0,2
70,53,3,14,4,0,2
71,53,3,14,4,0,2
72,53,3,14,4,0,2
73,53,3,14,4,0,2
74,53,3,14,4,0,2
75,53,3,14,4,0,2
76,53,3,14,4,0,2
77,53,3,14,4,0,2
78,53,3,14,4,0,2
79,53,3,14,4,0,2
80,53,3,14,4,0,2
81,53,3,14,4,0,2
82,53,3,14,4,0,2
83,53,3,14,4,0,2
84,53,3,14,4,0,2
85,53,3,14,4,0,2
86,53,3,14,4,0,2
87,53,3,14,4,0,2
88,53,3,14,4,0,2
89,53,3,14,4,0,2
90,53,3,14,4,0,2
91,53,3,14,4,0,2
92,53,3,14,4,0,2
93,53,3,14,4,0,2
94,53,3,14,4,0,2
95,53,3,14,4,0,2
96,53,3,14,4,0,2
97,53,3,14,4,0,2
98,53,3,14,4,0,2
99,53,3,14,4,0,2
100,53,3,15,3,0,2
