Tick,Total Agents,IDS,Malicious,Stealth,Suspicious,Confirmed
0,53,3,11,4,0,4
1,53,3,11,4,4,4
2,53,3,11,4,3,4
3,53,3,11,4,1,5
4,53,3,11,4,2,5
5,53,3,11,4,0,5
6,53,3,11,4,0,5
7,53,3,11,4,3,5
8,53,3,11,4,3,5
9,53,3,11,4,4,5
10,53,3,11,4,6,4
11,53,3,11,4,5,4
12,53,3,11,4,7,3
13,53,3,11,4,5,3
14,53,3,11,4,5,3
15,53,3,11,4,7,5
16,53,3,11,4,8,4
17,53,3,11,4,5,4
18,53,3,11,4,2,4
19,53,3,11,4,3,4
20,53,3,11,4,2,4
21,53,3,11,4,1,4
22,53,3,11,4,1,5
23,53,3,11,4,6,5
24,53,3,11,4,3,6
25,53,3,11,4,0,6
26,53,3,11,4,0,6
27,53,3,11,4,3,6
28,53,3,11,4,2,6
29,53,3,11,4,3,7
30,53,3,11,4,2,6
31,53,3,11,4,1,6
32,53,3,11,4,2,6
33,53,3,11,4,1,6
34,53,3,11,4,1,6
35,53,3,11,4,0,6
36,53,3,11,4,2,6
37,53,3,11,4,3,6
38,53,3,11,4,0,6
39,53,3,11,4,0,6
40,53,3,11,4,3,4
41,53,3,11,4,0,4
42,53,3,11,4,1,4
43,53,3,11,4,3,4
44,53,3,11,4,1,4
45,53,3,11,4,1,4
46,53,3,11,4,5,4
47,53,3,11,4,5,6
48,53,3,11,4,4,6
49,53,3,11,4,3,6
50,53,3,11,4,2,6
51,53,3,11,4,5,7
52,53,3,11,4,1,7
53,53,3,11,4,0,7
54,53,3,11,4,0,7
55,53,3,11,4,0,9
56,53,3,11,4,0,9
57,53,3,11,4,0,9
58,53,3,12,3,0,9
59,53,3,12,3,2,9
60,53,3,13,2,5,9
61,53,3,13,2,4,9
62,53,3,13,2,1,10
63,53,3,13,2,2,9
64,53,3,13,2,3,9
65,53,3,13,2,5,9
66,53,3,13,2,5,9
67,53,3,13,2,3,9
68,53,3,13,2,4,11
69,53,3,13,2,5,10
70,53,3,13,2,1,10
71,53,3,13,2,0,10
72,53,3,13,2,3,9
73,53,3,13,2,3,9
74,53,3,13,2,5,8
75,53,3,13,2,4,8
76,53,3,13,2,2,8
77,53,3,13,2,3,7
78,53,3,13,2,7,6
79,53,3,13,2,6,9
80,53,3,13,2,4,9
81,53,3,13,2,7,9
82,53,3,13,2,0,11
83,53,3,13,2,0,11
84,53,3,13,2,2,11
85,53,3,13,2,3,10
86,53,3,13,2,5,10
87,53,3,13,2,2,10
88,53,3,13,2,3,11
89,53,3,13,2,5,11
90,53,3,13,2,1,11
91,53,3,13,2,4,11
92,53,3,13,2,2,11
93,53,3,13,2,4,10
94,53,3,13,2,5,9
95,53,3,13,2,4,12
96,53,3,13,2,5,11
97,53,3,13,2,1,13
98,53,3,13,2,1,13
99,53,3,13,2,0,13
100,53,3,13,2,0,14
